,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
30,30,29,23,58,64,62,16,19,1,69,67,20,28,52,22,71,31,32,25,26,24,27,44,36,39,41,43,11,61,63,60,18,65,2,54,17,21,70,59,57,66,68,10,55,0,15,8,48,35,9,46,47,49,37,38,50,5,40,51,13,3,14,34,42,45,4,33,6,12,7,56,53
31,31,32,25,28,26,27,24,59,21,22,63,49,47,18,48,23,29,30,0,3,60,61,11,68,65,17,50,66,51,42,34,2,20,56,4,5,46,64,62,58,45,19,16,33,38,37,71,12,70,15,13,69,67,40,1,53,14,35,52,39,36,44,43,41,6,7,55,57,8,54,10,9
32,31,32,25,28,26,27,24,59,21,22,63,49,47,18,48,23,29,30,0,3,60,61,11,68,65,17,50,66,51,42,34,2,20,56,4,5,46,64,62,58,45,19,16,33,38,37,71,12,70,15,13,69,67,40,1,53,14,35,52,39,36,44,43,41,6,7,55,57,8,54,10,9
33,33,45,4,46,34,42,40,38,37,51,14,3,53,12,35,17,56,70,66,15,48,5,47,49,50,44,43,41,39,36,24,27,13,21,68,0,18,6,7,26,28,9,32,31,69,67,11,25,65,57,54,71,22,52,55,19,16,10,1,2,20,59,8,60,61,63,30,23,29,64,58,62
34,42,34,46,38,37,45,33,3,5,40,68,56,4,48,47,49,50,18,70,21,15,13,53,12,35,36,44,43,41,39,51,25,66,14,0,32,31,17,6,69,67,71,28,7,26,27,24,57,54,63,55,52,59,20,19,16,10,8,1,22,2,9,11,60,65,61,23,30,29,64,58,62
35,35,40,45,38,37,44,43,41,39,36,33,46,66,2,34,42,70,4,53,12,3,7,5,67,69,13,15,71,57,54,14,56,6,55,50,52,47,49,68,1,10,19,16,51,9,8,21,17,20,0,48,22,18,26,60,30,32,31,23,29,24,27,28,25,61,11,62,64,58,65,59,63
36,36,39,41,43,44,69,67,57,54,52,16,19,10,71,1,35,55,46,20,8,70,37,38,9,40,42,34,5,45,33,30,68,6,15,7,3,23,58,62,64,29,18,4,17,66,56,13,48,14,53,12,49,47,50,51,21,2,22,61,0,28,63,60,31,32,65,25,26,24,27,59,11
37,37,38,40,46,34,42,45,13,33,70,3,35,15,50,66,4,14,56,21,44,41,36,39,43,49,47,53,12,48,0,5,51,68,54,52,55,69,67,28,32,31,1,57,25,18,71,26,6,24,27,19,16,17,2,10,11,7,20,8,9,30,59,29,22,23,63,61,60,64,62,58,65
38,37,38,40,46,34,42,45,13,33,70,3,35,15,50,66,4,14,56,21,44,41,36,39,43,49,47,53,12,48,0,5,51,68,54,52,55,69,67,28,32,31,1,57,25,18,71,26,6,24,27,19,16,17,2,10,11,7,20,8,9,30,59,29,22,23,63,61,60,64,62,58,65
39,36,39,41,43,44,69,67,57,54,52,16,19,10,71,1,35,55,46,20,8,70,37,38,9,40,42,34,5,45,33,30,68,6,15,7,3,23,58,62,64,29,18,4,17,66,56,13,48,14,53,12,49,47,50,51,21,2,22,61,0,28,63,60,31,32,65,25,26,24,27,59,11
40,40,45,38,37,46,35,33,66,34,42,70,53,12,4,15,14,13,3,36,41,39,43,44,51,56,21,50,48,47,49,0,26,5,54,2,7,55,28,52,69,67,68,71,57,1,24,27,17,6,11,31,32,22,19,16,25,18,10,20,9,8,60,30,29,59,23,65,61,58,62,64,63
41,36,39,41,43,44,69,67,57,54,52,16,19,10,71,1,35,55,46,20,8,70,37,38,9,40,42,34,5,45,33,30,68,6,15,7,3,23,58,62,64,29,18,4,17,66,56,13,48,14,53,12,49,47,50,51,21,2,22,61,0,28,63,60,31,32,65,25,26,24,27,59,11
42,42,34,46,38,37,45,33,3,5,40,68,56,4,48,47,49,50,18,70,21,15,13,53,12,35,36,44,43,41,39,51,25,66,14,0,32,31,17,6,69,67,71,28,7,26,27,24,57,54,63,55,52,59,20,19,16,10,8,1,22,2,9,11,60,65,61,23,30,29,64,58,62
43,36,39,41,43,44,69,67,57,54,52,16,19,10,71,1,35,55,46,20,8,70,37,38,9,40,42,34,5,45,33,30,68,6,15,7,3,23,58,62,64,29,18,4,17,66,56,13,48,14,53,12,49,47,50,51,21,2,22,61,0,28,63,60,31,32,65,25,26,24,27,59,11
44,36,39,41,43,44,69,67,57,54,52,16,19,10,71,1,35,55,46,20,8,70,37,38,9,40,42,34,5,45,33,30,68,6,15,7,3,23,58,62,64,29,18,4,17,66,56,13,48,14,53,12,49,47,50,51,21,2,22,61,0,28,63,60,31,32,65,25,26,24,27,59,11
45,45,40,46,33,42,34,38,37,53,12,35,66,4,3,56,51,70,50,48,15,47,49,5,14,13,36,44,43,41,39,7,26,21,68,0,17,6,22,18,28,27,24,2,32,31,69,67,25,71,60,57,54,55,52,19,16,10,20,1,9,8,59,11,65,61,63,30,23,29,64,62,58
46,46,45,33,40,38,37,42,34,3,4,70,53,12,39,41,36,43,44,66,48,15,56,13,35,50,51,14,47,49,21,5,28,6,68,0,17,69,67,54,18,7,26,57,52,27,24,71,31,32,55,25,1,19,16,10,22,9,20,8,61,11,59,2,60,30,65,29,63,23,64,58,62
47,47,49,48,50,3,51,56,0,4,5,12,15,13,68,21,42,34,31,32,70,66,14,46,53,45,33,37,38,52,25,40,18,6,28,26,1,27,24,71,7,17,69,67,59,35,22,8,55,57,39,36,44,41,43,10,54,20,63,19,16,9,23,2,29,60,61,65,11,30,62,58,64
48,48,47,49,50,3,51,56,0,12,4,5,15,68,13,42,34,21,46,70,32,31,66,14,52,53,45,33,38,37,25,18,40,28,6,1,71,26,27,24,69,67,7,17,59,22,55,8,57,39,36,44,41,43,35,54,10,20,16,19,63,9,23,29,30,61,60,11,65,2,62,64,58
49,47,49,48,50,3,51,56,0,4,5,12,15,13,68,21,42,34,31,32,70,66,14,46,53,45,33,37,38,52,25,40,18,6,28,26,1,27,24,71,7,17,69,67,59,35,22,8,55,57,39,36,44,41,43,10,54,20,63,19,16,9,23,2,29,60,61,65,11,30,62,58,64
50,50,49,47,48,51,13,3,12,0,4,37,38,15,5,56,68,42,34,66,70,53,46,45,14,33,21,52,32,31,40,25,6,18,28,26,7,24,27,1,35,17,69,67,22,71,59,57,36,41,44,43,39,10,54,8,55,19,16,63,9,2,20,60,61,65,11,30,23,29,64,62,58
